MVINOMBRE,HORARIO,accidentes,muertes,heridos,muertes_vulnerables,heridos_vulnerables,vulnerables
AUTOPISTA AL LLANO,DiurnoMan 5-8,44,5,31,5,20,2
AUTOPISTA AL LLANO,DiurnoMan 8-12,30,1,32,1,16,2
AUTOPISTA AL LLANO,DiurnoTarde 12-18,55,7,31,6,21,2
AUTOPISTA AL LLANO,Nocturno 2-5,14,0,3,0,1,1
AUTOPISTA AL LLANO,Nocturno 22-2,17,1,10,1,4,2
AUTOPISTA AL LLANO,NocturnoTarde 18-22,35,3,28,3,18,2
AVENIDA AGOBERTO MEJIA CIFUENTES,DiurnoMan 5-8,80,1,71,1,51,2
AVENIDA AGOBERTO MEJIA CIFUENTES,DiurnoMan 8-12,105,0,72,0,54,1
AVENIDA AGOBERTO MEJIA CIFUENTES,DiurnoTarde 12-18,150,2,114,1,75,2
AVENIDA AGOBERTO MEJIA CIFUENTES,Nocturno 2-5,19,1,14,1,10,2
AVENIDA AGOBERTO MEJIA CIFUENTES,Nocturno 22-2,47,1,47,1,23,2
AVENIDA AGOBERTO MEJIA CIFUENTES,NocturnoTarde 18-22,104,4,77,4,64,2
AVENIDA ALBERTO LLERAS CAMARGO,DiurnoMan 5-8,119,0,91,0,72,1
AVENIDA ALBERTO LLERAS CAMARGO,DiurnoMan 8-12,253,4,105,4,67,2
AVENIDA ALBERTO LLERAS CAMARGO,DiurnoTarde 12-18,409,5,185,5,116,2
AVENIDA ALBERTO LLERAS CAMARGO,Nocturno 2-5,25,0,15,0,6,1
AVENIDA ALBERTO LLERAS CAMARGO,Nocturno 22-2,74,1,69,1,31,2
AVENIDA ALBERTO LLERAS CAMARGO,NocturnoTarde 18-22,202,6,85,6,63,2
AVENIDA ALEJANDRO OBREGON,DiurnoMan 5-8,4,1,1,1,0,2
AVENIDA ALEJANDRO OBREGON,DiurnoMan 8-12,6,0,2,0,2,1
AVENIDA ALEJANDRO OBREGON,DiurnoTarde 12-18,14,0,4,0,4,1
AVENIDA ALEJANDRO OBREGON,Nocturno 2-5,3,0,0,0,0,0
AVENIDA ALEJANDRO OBREGON,Nocturno 22-2,2,0,0,0,0,0
AVENIDA ALEJANDRO OBREGON,NocturnoTarde 18-22,6,0,1,0,1,1
AVENIDA ALFREDO D BATEMAN,DiurnoMan 5-8,45,0,38,0,28,1
AVENIDA ALFREDO D BATEMAN,DiurnoMan 8-12,89,0,38,0,21,1
AVENIDA ALFREDO D BATEMAN,DiurnoTarde 12-18,146,6,73,4,45,2
AVENIDA ALFREDO D BATEMAN,Nocturno 2-5,10,3,9,2,6,2
AVENIDA ALFREDO D BATEMAN,Nocturno 22-2,20,0,13,0,8,1
AVENIDA ALFREDO D BATEMAN,NocturnoTarde 18-22,76,2,39,2,30,2
AVENIDA ALSACIA,DiurnoMan 5-8,15,0,9,0,4,1
AVENIDA ALSACIA,DiurnoMan 8-12,15,1,6,1,3,2
AVENIDA ALSACIA,DiurnoTarde 12-18,30,0,13,0,8,1
AVENIDA ALSACIA,Nocturno 2-5,3,0,11,0,2,1
AVENIDA ALSACIA,Nocturno 22-2,8,0,7,0,6,1
AVENIDA ALSACIA,NocturnoTarde 18-22,17,0,11,0,7,1
AVENIDA BATALLON CALDAS,DiurnoMan 5-8,61,5,46,4,35,2
AVENIDA BATALLON CALDAS,DiurnoMan 8-12,125,0,53,0,40,1
AVENIDA BATALLON CALDAS,DiurnoTarde 12-18,163,1,67,1,44,2
AVENIDA BATALLON CALDAS,Nocturno 2-5,6,0,5,0,1,1
AVENIDA BATALLON CALDAS,Nocturno 22-2,35,2,36,0,23,1
AVENIDA BATALLON CALDAS,NocturnoTarde 18-22,93,1,57,1,39,2
AVENIDA BOLIVIA,DiurnoMan 5-8,5,0,3,0,2,1
AVENIDA BOLIVIA,DiurnoMan 8-12,7,0,6,0,4,1
AVENIDA BOLIVIA,DiurnoTarde 12-18,15,1,13,1,6,2
AVENIDA BOLIVIA,Nocturno 2-5,1,0,1,0,1,1
AVENIDA BOLIVIA,Nocturno 22-2,2,0,2,0,0,0
AVENIDA BOLIVIA,NocturnoTarde 18-22,6,0,7,0,4,1
AVENIDA BOSA,DiurnoMan 5-8,20,0,15,0,10,1
AVENIDA BOSA,DiurnoMan 8-12,23,0,21,0,13,1
AVENIDA BOSA,DiurnoTarde 12-18,60,1,38,1,27,2
AVENIDA BOSA,Nocturno 2-5,3,0,0,0,0,0
AVENIDA BOSA,Nocturno 22-2,15,1,5,1,3,2
AVENIDA BOSA,NocturnoTarde 18-22,32,0,42,0,27,1
AVENIDA BOYACA,DiurnoMan 5-8,390,10,304,8,223,2
AVENIDA BOYACA,DiurnoMan 8-12,552,6,286,6,191,2
AVENIDA BOYACA,DiurnoTarde 12-18,1068,13,452,11,300,2
AVENIDA BOYACA,Nocturno 2-5,119,7,93,4,47,2
AVENIDA BOYACA,Nocturno 22-2,284,24,249,22,145,2
AVENIDA BOYACA,NocturnoTarde 18-22,627,13,304,11,190,2
AVENIDA CALLEJAS,DiurnoMan 5-8,12,0,4,0,2,1
AVENIDA CALLEJAS,DiurnoMan 8-12,51,0,14,0,4,1
AVENIDA CALLEJAS,DiurnoTarde 12-18,67,1,18,1,12,2
AVENIDA CALLEJAS,Nocturno 2-5,3,0,3,0,1,1
AVENIDA CALLEJAS,Nocturno 22-2,5,0,2,0,1,1
AVENIDA CALLEJAS,NocturnoTarde 18-22,21,0,9,0,4,1
AVENIDA CAMINO DEL PRADO,DiurnoMan 5-8,6,0,4,0,3,1
AVENIDA CAMINO DEL PRADO,DiurnoMan 8-12,17,0,9,0,5,1
AVENIDA CAMINO DEL PRADO,DiurnoTarde 12-18,40,0,36,0,25,1
AVENIDA CAMINO DEL PRADO,Nocturno 2-5,1,0,0,0,0,0
AVENIDA CAMINO DEL PRADO,Nocturno 22-2,7,0,5,0,2,1
AVENIDA CAMINO DEL PRADO,NocturnoTarde 18-22,22,1,14,1,9,2
AVENIDA CARACAS,DiurnoMan 5-8,184,4,164,4,120,2
AVENIDA CARACAS,DiurnoMan 8-12,241,1,202,1,136,2
AVENIDA CARACAS,DiurnoTarde 12-18,507,15,427,15,265,2
AVENIDA CARACAS,Nocturno 2-5,106,5,90,4,39,2
AVENIDA CARACAS,Nocturno 22-2,128,6,151,6,78,2
AVENIDA CARACAS,NocturnoTarde 18-22,297,15,287,12,206,2
AVENIDA CARLOS LLERAS RESTREPO,DiurnoMan 5-8,12,0,7,0,5,1
AVENIDA CARLOS LLERAS RESTREPO,DiurnoMan 8-12,43,0,16,0,11,1
