MVINOMBRE,HORARIO,accidentes,muertes,heridos,muertes_vulnerables,heridos_vulnerables,vulnerables
AUTOPISTA AL LLANO,DiurnoMan 5-8,47,6,37,6,22,2
AUTOPISTA AL LLANO,DiurnoMan 8-12,35,1,34,1,19,2
AUTOPISTA AL LLANO,DiurnoTarde 12-18,67,9,28,8,20,2
AUTOPISTA AL LLANO,Nocturno 2-5,15,0,3,0,1,1
AUTOPISTA AL LLANO,Nocturno 22-2,18,3,9,2,7,2
AUTOPISTA AL LLANO,NocturnoTarde 18-22,38,3,29,3,19,2
AVENIDA AGOBERTO MEJIA CIFUENTES,DiurnoMan 5-8,94,1,74,1,55,2
AVENIDA AGOBERTO MEJIA CIFUENTES,DiurnoMan 8-12,121,0,81,0,56,1
AVENIDA AGOBERTO MEJIA CIFUENTES,DiurnoTarde 12-18,187,4,127,3,83,2
AVENIDA AGOBERTO MEJIA CIFUENTES,Nocturno 2-5,25,2,26,2,14,2
AVENIDA AGOBERTO MEJIA CIFUENTES,Nocturno 22-2,57,0,47,0,24,1
AVENIDA AGOBERTO MEJIA CIFUENTES,NocturnoTarde 18-22,120,6,89,6,70,2
AVENIDA ALBERTO LLERAS CAMARGO,DiurnoMan 5-8,163,1,109,1,91,2
AVENIDA ALBERTO LLERAS CAMARGO,DiurnoMan 8-12,355,5,127,5,86,2
AVENIDA ALBERTO LLERAS CAMARGO,DiurnoTarde 12-18,542,7,211,7,129,2
AVENIDA ALBERTO LLERAS CAMARGO,Nocturno 2-5,27,0,17,0,8,1
AVENIDA ALBERTO LLERAS CAMARGO,Nocturno 22-2,86,0,57,0,31,1
AVENIDA ALBERTO LLERAS CAMARGO,NocturnoTarde 18-22,254,6,93,6,65,2
AVENIDA ALFREDO D BATEMAN,DiurnoMan 5-8,49,1,39,1,23,2
AVENIDA ALFREDO D BATEMAN,DiurnoMan 8-12,101,0,38,0,25,1
AVENIDA ALFREDO D BATEMAN,DiurnoTarde 12-18,154,6,60,5,43,2
AVENIDA ALFREDO D BATEMAN,Nocturno 2-5,10,3,8,2,4,2
AVENIDA ALFREDO D BATEMAN,Nocturno 22-2,18,0,10,0,6,1
AVENIDA ALFREDO D BATEMAN,NocturnoTarde 18-22,91,3,33,3,26,2
AVENIDA ALSACIA,DiurnoMan 5-8,11,0,5,0,3,1
AVENIDA ALSACIA,DiurnoMan 8-12,16,1,4,1,2,2
AVENIDA ALSACIA,DiurnoTarde 12-18,29,0,7,0,3,1
AVENIDA ALSACIA,Nocturno 2-5,2,0,1,0,1,1
AVENIDA ALSACIA,Nocturno 22-2,3,0,0,0,0,0
AVENIDA ALSACIA,NocturnoTarde 18-22,14,0,4,0,2,1
AVENIDA BATALLON CALDAS,DiurnoMan 5-8,79,5,52,4,40,2
AVENIDA BATALLON CALDAS,DiurnoMan 8-12,153,0,49,0,38,1
AVENIDA BATALLON CALDAS,DiurnoTarde 12-18,216,0,78,0,49,1
AVENIDA BATALLON CALDAS,Nocturno 2-5,6,0,3,0,0,0
AVENIDA BATALLON CALDAS,Nocturno 22-2,36,2,30,0,20,1
AVENIDA BATALLON CALDAS,NocturnoTarde 18-22,105,2,57,2,41,2
AVENIDA BOLIVIA,DiurnoMan 5-8,5,0,4,0,3,1
AVENIDA BOLIVIA,DiurnoMan 8-12,7,0,4,0,3,1
AVENIDA BOLIVIA,DiurnoTarde 12-18,18,1,15,1,9,2
AVENIDA BOLIVIA,Nocturno 22-2,1,0,0,0,0,0
AVENIDA BOLIVIA,NocturnoTarde 18-22,6,0,3,0,3,1
AVENIDA BOSA,DiurnoMan 5-8,27,0,17,0,13,1
AVENIDA BOSA,DiurnoMan 8-12,25,0,13,0,9,1
AVENIDA BOSA,DiurnoTarde 12-18,76,1,41,1,32,2
AVENIDA BOSA,Nocturno 2-5,7,0,2,0,1,1
AVENIDA BOSA,Nocturno 22-2,19,0,9,0,5,1
AVENIDA BOSA,NocturnoTarde 18-22,35,0,31,0,21,1
AVENIDA BOYACA,DiurnoMan 5-8,477,8,324,8,237,2
AVENIDA BOYACA,DiurnoMan 8-12,654,8,286,8,192,2
AVENIDA BOYACA,DiurnoTarde 12-18,1252,15,445,13,306,2
AVENIDA BOYACA,Nocturno 2-5,139,9,92,6,53,2
AVENIDA BOYACA,Nocturno 22-2,326,21,253,20,149,2
AVENIDA BOYACA,NocturnoTarde 18-22,749,11,320,9,210,2
AVENIDA CAMINO DEL PRADO,DiurnoMan 5-8,6,0,3,0,3,1
AVENIDA CAMINO DEL PRADO,DiurnoMan 8-12,18,0,10,0,5,1
AVENIDA CAMINO DEL PRADO,DiurnoTarde 12-18,49,0,33,0,24,1
AVENIDA CAMINO DEL PRADO,Nocturno 2-5,2,0,0,0,0,0
AVENIDA CAMINO DEL PRADO,Nocturno 22-2,10,0,7,0,4,1
AVENIDA CAMINO DEL PRADO,NocturnoTarde 18-22,21,1,15,1,10,2
AVENIDA CARACAS,DiurnoMan 5-8,239,6,179,6,130,2
AVENIDA CARACAS,DiurnoMan 8-12,322,4,247,4,160,2
AVENIDA CARACAS,DiurnoTarde 12-18,589,17,470,15,288,2
AVENIDA CARACAS,Nocturno 2-5,121,6,99,4,56,2
AVENIDA CARACAS,Nocturno 22-2,149,10,146,9,79,2
AVENIDA CARACAS,NocturnoTarde 18-22,348,14,342,10,226,2
AVENIDA CARLOS LLERAS RESTREPO,DiurnoMan 5-8,21,0,13,0,6,1
AVENIDA CARLOS LLERAS RESTREPO,DiurnoMan 8-12,70,1,19,1,13,2
AVENIDA CARLOS LLERAS RESTREPO,DiurnoTarde 12-18,82,1,12,1,9,2
AVENIDA CARLOS LLERAS RESTREPO,Nocturno 2-5,4,0,6,0,1,1
AVENIDA CARLOS LLERAS RESTREPO,Nocturno 22-2,11,0,7,0,4,1
AVENIDA CARLOS LLERAS RESTREPO,NocturnoTarde 18-22,42,1,16,0,11,1
AVENIDA CARRERA 103,DiurnoMan 5-8,2,0,5,0,5,1
AVENIDA CARRERA 103,DiurnoMan 8-12,1,0,0,0,0,0
AVENIDA CARRERA 103,DiurnoTarde 12-18,7,0,4,0,3,1
AVENIDA CARRERA 103,Nocturno 22-2,2,0,1,0,1,1
AVENIDA CARRERA 103,NocturnoTarde 18-22,4,1,3,1,2,2
AVENIDA CARRERA 106,DiurnoMan 5-8,10,1,4,1,4,2
AVENIDA CARRERA 106,DiurnoMan 8-12,7,1,2,1,2,2
AVENIDA CARRERA 106,DiurnoTarde 12-18,24,0,4,0,4,1
AVENIDA CARRERA 106,Nocturno 2-5,4,0,0,0,0,0
AVENIDA CARRERA 106,Nocturno 22-2,3,0,7,0,2,1
AVENIDA CARRERA 106,NocturnoTarde 18-22,7,1,5,1,4,2
AVENIDA CASTILLA,DiurnoMan 5-8,12,0,5,0,5,1
AVENIDA CASTILLA,DiurnoMan 8-12,20,0,8,0,7,1
AVENIDA CASTILLA,DiurnoTarde 12-18,30,0,7,0,7,1
AVENIDA CASTILLA,Nocturno 2-5,3,0,1,0,1,1
AVENIDA CASTILLA,Nocturno 22-2,12,0,8,0,5,1
AVENIDA CASTILLA,NocturnoTarde 18-22,20,1,9,1,7,2
AVENIDA CENTENARIO,DiurnoMan 5-8,188,8,87,8,62,2
AVENIDA CENTENARIO,DiurnoMan 8-12,293,3,99,3,65,2
AVENIDA CENTENARIO,DiurnoTarde 12-18,578,11,166,11,120,2
AVENIDA CENTENARIO,Nocturno 2-5,35,2,20,2,11,2
AVENIDA CENTENARIO,Nocturno 22-2,67,6,36,5,26,2
AVENIDA CENTENARIO,NocturnoTarde 18-22,311,3,101,2,82,2
AVENIDA CHILE,DiurnoMan 5-8,98,1,73,1,52,2
AVENIDA CHILE,DiurnoMan 8-12,196,3,88,3,58,2
AVENIDA CHILE,DiurnoTarde 12-18,322,2,147,2,98,2
AVENIDA CHILE,Nocturno 2-5,15,0,6,0,4,1
AVENIDA CHILE,Nocturno 22-2,54,0,36,0,22,1
AVENIDA CHILE,NocturnoTarde 18-22,173,1,96,1,69,2
AVENIDA CIRCUNVALAR DEL SUR,DiurnoMan 5-8,5,0,4,0,3,1
AVENIDA CIRCUNVALAR DEL SUR,DiurnoMan 8-12,8,0,5,0,3,1
AVENIDA CIRCUNVALAR DEL SUR,DiurnoTarde 12-18,8,1,5,1,4,2
